iter	Passed	Remaining
611	1362	863
612	1364	861
613	1366	858
614	1368	856
615	1370	854
616	1373	852
617	1375	850
618	1377	848
619	1379	845
620	1382	843
621	1384	841
622	1387	839
623	1389	837
624	1391	834
625	1393	832
626	1395	830
627	1397	827
628	1399	825
629	1402	823
630	1404	821
631	1406	818
632	1408	816
633	1410	814
634	1412	812
635	1414	809
636	1417	807
637	1419	805
638	1421	803
639	1424	801
640	1426	798
641	1428	796
642	1430	794
643	1432	791
644	1434	789
645	1437	787
646	1438	785
647	1441	782
648	1443	780
649	1445	778
650	1447	776
651	1450	773
652	1452	771
653	1454	769
654	1456	767
655	1458	764
656	1460	762
657	1463	760
658	1465	758
659	1467	755
660	1469	753
661	1471	751
662	1473	749
663	1476	746
664	1478	744
665	1480	742
666	1482	740
667	1484	737
668	1486	735
669	1489	733
670	1491	731
671	1494	729
672	1496	727
673	1498	724
674	1500	722
675	1503	720
676	1505	718
677	1507	715
678	1509	713
679	1511	711
680	1513	709
681	1516	707
682	1518	704
683	1520	702
684	1522	700
685	1524	697
686	1526	695
687	1529	693
688	1531	691
689	1533	688
690	1535	686
691	1537	684
692	1539	682
693	1541	679
694	1544	677
695	1546	675
696	1548	673
697	1550	670
698	1552	668
699	1554	666
700	1556	664
701	1558	661
702	1561	659
703	1563	657
704	1565	655
705	1567	652
706	1570	650
707	1572	648
708	1574	646
709	1576	643
710	1578	641
711	1580	639
712	1582	637
713	1584	634
714	1587	632
715	1589	630
716	1591	628
717	1593	625
718	1595	623
719	1597	621
720	1599	619
721	1602	616
722	1604	614
723	1606	612
724	1608	610
725	1610	607
726	1612	605
727	1614	603
728	1616	601
729	1618	598
730	1620	596
731	1623	594
732	1625	592
733	1627	589
734	1630	587
735	1632	585
736	1634	583
737	1636	580
738	1638	578
739	1640	576
740	1642	574
741	1645	572
742	1647	569
743	1650	567
744	1652	565
745	1654	563
746	1657	561
747	1659	558
748	1661	556
749	1663	554
750	1665	552
751	1667	549
752	1669	547
753	1671	545
754	1674	543
755	1676	541
756	1678	538
757	1680	536
758	1682	534
759	1684	532
760	1686	529
761	1689	527
762	1691	525
763	1693	523
764	1695	520
765	1698	518
766	1700	516
767	1702	514
768	1704	512
769	1706	509
770	1708	507
771	1711	505
772	1713	503
773	1715	500
774	1717	498
775	1719	496
776	1721	494
777	1723	491
778	1725	489
779	1727	487
780	1729	485
781	1732	482
782	1734	480
783	1736	478
784	1738	476
785	1740	473
786	1742	471
787	1744	469
788	1747	467
789	1749	465
790	1751	462
791	1754	460
792	1756	458
793	1758	456
794	1760	454
795	1763	451
796	1765	449
797	1767	447
798	1769	445
799	1771	442
800	1773	440
801	1776	438
802	1778	436
803	1780	433
804	1781	431
805	1784	429
806	1786	427
807	1788	424
808	1790	422
809	1792	420
810	1794	418
811	1797	416
812	1799	413
813	1801	411
814	1803	409
815	1805	407
816	1808	404
817	1810	402
818	1812	400
819	1814	398
820	1817	396
821	1819	393
822	1821	391
823	1823	389
824	1825	387
825	1827	385
826	1830	382
827	1832	380
828	1834	378
829	1836	376
830	1838	373
831	1841	371
832	1843	369
833	1845	367
834	1847	365
835	1850	363
836	1852	360
837	1855	358
838	1857	356
839	1859	354
840	1861	351
841	1864	349
842	1866	347
843	1868	345
844	1870	343
845	1873	340
846	1875	338
847	1877	336
848	1880	334
849	1883	332
850	1885	330
851	1887	327
852	1889	325
853	1892	323
854	1894	321
855	1896	319
856	1898	316
857	1901	314
858	1903	312
859	1905	310
860	1907	308
861	1911	305
862	1913	303
863	1916	301
864	1918	299
865	1921	297
866	1923	295
867	1926	292
868	1928	290
869	1930	288
870	1933	286
871	1935	284
872	1938	281
873	1940	279
874	1942	277
875	1945	275
876	1947	273
877	1949	270
878	1952	268
879	1954	266
880	1956	264
881	1958	262
882	1960	259
883	1963	257
884	1965	255
885	1967	253
886	1970	250
887	1972	248
888	1974	246
889	1977	244
890	1979	242
891	1981	239
892	1984	237
893	1986	235
894	1989	233
895	1991	231
896	1993	228
897	1995	226
898	1997	224
899	1999	222
900	2002	219
901	2004	217
902	2006	215
903	2008	213
904	2010	211
905	2012	208
906	2015	206
907	2017	204
908	2019	202
909	2021	199
910	2024	197
911	2026	195
912	2028	193
913	2030	191
914	2032	188
915	2035	186
916	2037	184
917	2040	182
918	2042	179
919	2044	177
920	2046	175
921	2049	173
922	2051	171
923	2053	168
924	2055	166
925	2057	164
926	2059	162
927	2061	159
928	2064	157
929	2066	155
930	2068	153
931	2070	151
932	2073	148
933	2075	146
934	2077	144
935	2079	142
936	2081	139
937	2084	137
938	2086	135
939	2088	133
940	2091	131
941	2093	128
942	2095	126
943	2097	124
944	2099	122
945	2101	119
946	2104	117
947	2106	115
948	2108	113
949	2110	111
950	2112	108
951	2115	106
952	2117	104
953	2119	102
954	2121	99
955	2123	97
956	2125	95
957	2127	93
958	2129	91
959	2132	88
960	2134	86
961	2136	84
962	2138	82
963	2140	79
964	2143	77
965	2145	75
966	2147	73
967	2150	71
968	2152	68
969	2154	66
970	2156	64
971	2159	62
972	2161	59
973	2163	57
974	2165	55
975	2167	53
976	2169	51
977	2172	48
978	2174	46
979	2176	44
980	2179	42
981	2181	39
982	2183	37
983	2185	35
984	2187	33
985	2190	31
986	2192	28
987	2194	26
988	2197	24
989	2199	22
